GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sonar-tutorial,edu.byu.cs.sonar,CustomFileReader,14,138,3,13,3,38,4,17,1,12
sonar-tutorial,edu.byu.cs.sonar,Main,3,68,0,2,1,16,1,2,1,1
